date,displayDate,month,monthLabel,liquidacionNumero,remesasMutuales,iva105,retIva,retGanancias,cuotaSocial,cuotaSocialFinEspecifico,fondoFederacion,retAdmBancaria,retIngresosBrutos,transferenciaCBU,totalSujetoRetenciones,totalEquipos,url
2025-01-07,07/01/2025,2025-01,Enero 2025,0005 00355157 07,5004185.15,38046.18,25364.12,98740.3,200167.41,100083.7,104729.25,30025.11,68988.07,4414133.37,5004185.15,5004185.15,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250107-liqui.web&por_os=20250107-liq_os.web&por_afi=20250107-liq_afi.web
2025-01-14,14/01/2025,2025-01,Enero 2025,0005 00356309 07,3721063.86,95429.39,63619.59,74421.28,148842.55,74421.28,74421.28,22326.38,51350.68,3307090.21,8725249.01,3721063.86,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250114-liqui.web&por_os=20250114-liq_os.web&por_afi=20250114-liq_afi.web
2025-01-21,21/01/2025,2025-01,Enero 2025,0005 00357432 14,5902620.01,23279.58,15519.72,118052.4,236104.79,118052.41,85843.45,35415.72,81939.29,5234971.81,14627869.02,5902620.01,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250121-liqui.web&por_os=20250121-liq_os.web&por_afi=20250121-liq_afi.web
2025-01-28,28/01/2025,2025-01,Enero 2025,0005 00358585 21,3170868.56,21544.06,14362.71,63417.37,126834.74,63417.37,62755.42,19025.21,43767.92,2796656.88,17798737.58,3170868.56,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250128-liqui.web&por_os=20250128-liq_os.web&por_afi=20250128-liq_afi.web
2025-02-04,04/02/2025,2025-02,Febrero 2025,0005 00360091 04,3274422.4,52358.49,34905.66,64145.05,130976.9,65488.44,75350.57,19646.53,45039.1,2891228.64,3274422.4,3274422.4,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250204-liqui.web&por_os=20250204-liq_os.web&por_afi=20250204-liq_afi.web
2025-02-11,11/02/2025,2025-02,Febrero 2025,0005 00361252 04,2661496.38,54036.41,36024.28,53229.93,106459.86,53229.93,53229.93,15968.98,36728.65,2360661.23,5935918.78,2661496.38,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250211-liqui.web&por_os=20250211-liq_os.web&por_afi=20250211-liq_afi.web
2025-02-18,18/02/2025,2025-02,Febrero 2025,0005 00362388 11,6019804.63,94512.64,63008.43,120396.09,240792.19,120396.09,115020.01,36118.83,83153.95,5335431.68,11955723.41,6019804.63,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250218-liqui.web&por_os=20250218-liq_os.web&por_afi=20250218-liq_afi.web
2025-02-25,25/02/2025,2025-02,Febrero 2025,0005 00363580 18,4734850.14,26547.63,17698.42,94697,189394,94697.01,84362.23,28409.1,65495.95,4186644.06,16690573.55,4734850.14,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250225-liqui.web&por_os=20250225-liq_os.web&por_afi=20250225-liq_afi.web
2025-03-12,12/03/2025,2025-03,Marzo 2025,0005 00364690 12,2913208.05,40299.66,26866.44,56920.76,116528.33,58264.16,67413.37,17479.25,40065.03,2569970.37,2913208.05,2913208.05,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250312-liqui.web&por_os=20250312-liq_os.web&por_afi=20250312-liq_afi.web
2025-03-18,18/03/2025,2025-03,Marzo 2025,0005 00366174 12,2903460.2,80790.4,53860.27,58069.21,116138.41,58069.2,57681.6,17420.76,40073.56,2582937.59,5816668.25,2903460.2,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250318-liqui.web&por_os=20250318-liq_os.web&por_afi=20250318-liq_afi.web
2025-03-26,26/03/2025,2025-03,Marzo 2025,0005 00367386 18,6110070.45,33259.63,22173.09,122201.4,244402.83,122201.41,143212.87,36660.42,84003.8,5368474.26,11926738.7,6110070.45,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250326-liqui.web&por_os=20250326-liq_os.web&por_afi=20250326-liq_afi.web
2025-04-01,01/04/2025,2025-04,Abril 2025,0005 00368618 01,3146653.78,25747.02,17164.68,61589.68,125866.15,62933.08,65606.87,18879.92,43383.72,2776976.7,3146653.78,3146653.78,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250401-liqui.web&por_os=20250401-liq_os.web&por_afi=20250401-liq_afi.web
2025-04-08,08/04/2025,2025-04,Abril 2025,0005 00370108 01,2142570.12,8763.63,5842.42,42851.4,85702.8,42851.4,42851.4,12855.42,29567.47,1888811.44,5289223.9,2142570.12,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250408-liqui.web&por_os=20250408-liq_os.web&por_afi=20250408-liq_afi.web
2025-04-14,14/04/2025,2025-04,Abril 2025,0005 00371239 08,4021849.58,25101.74,16734.49,80436.99,160873.97,80436.99,122655.28,24131.1,54868.25,3506814.25,9311073.48,4021849.58,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250414-liqui.web&por_os=20250414-liq_os.web&por_afi=20250414-liq_afi.web
2025-04-23,23/04/2025,2025-04,Abril 2025,0005 00372219 14,1572642.7,24253.25,16168.84,31452.85,62905.71,31452.85,31452.85,9435.86,21702.47,1392324.52,10883716.18,1572642.7,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250423-liqui.web&por_os=20250423-liq_os.web&por_afi=20250423-liq_afi.web
2025-04-28,28/04/2025,2025-04,Abril 2025,0005 00373262 23,4758822.94,113180.21,75453.47,95176.46,190352.92,95176.46,82450.07,28552.94,65862.65,4238978.18,15642539.12,4758822.94,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250428-liqui.web&por_os=20250428-liq_os.web&por_afi=20250428-liq_afi.web
2025-05-06,06/05/2025,2025-05,Mayo 2025,0005 00374772 06,3741053.89,6522.96,4348.64,73477.68,149642.16,74821.08,92046.81,22446.32,51368.16,3279426,3741053.89,3741053.89,https://www.ambb.org.ar/internos/liq-nue/armar-liqui.php?liqui=20250506-liqui.web&por_os=20250506-liq_os.web&por_afi=20250506-liq_afi.web
