mes,fecha,descripcion,importe
2025-07,2025-07-29,TRANSF. A OTROS BANCOS X CBU,"6219058,58"
2025-07,2025-07-22,TRANSF. A OTROS BANCOS X CBU,"5386955,18"
2025-07,2025-07-15,TRANSF. A OTROS BANCOS X CBU,"6172196,74"
2025-07,2025-07-08,TRANSF. A OTROS BANCOS X CBU,"1360525,22"
2025-07,2025-07-02,TRANSF. A OTROS BANCOS X CBU,"5479516,83"
2025-08,2025-08-26,TRANSF. A OTROS BANCOS X CBU,"11918210,85"
2025-08,2025-08-19,TRANSF. A OTROS BANCOS X CBU,"2226543,72"
2025-08,2025-08-12,TRANSF. A OTROS BANCOS X CBU,"1883653,06"
2025-08,2025-08-05,TRANSF. A OTROS BANCOS X CBU,"4534983,43"
2025-09,2025-09-23,TRANSF. A OTROS BANCOS X CBU,"10215419,45"
2025-09,2025-09-16,TRANSF. A OTROS BANCOS X CBU,"3165427,46"
2025-09,2025-09-09,TRANSF. A OTROS BANCOS X CBU,"2085692,49"
2025-09,2025-09-02,TRANSF. A OTROS BANCOS X CBU,"5026267,64"
2025-10,2025-10-28,TRANSF. A OTROS BANCOS X CBU,"2960944,49"
2025-10,2025-10-21,TRANSF. A OTROS BANCOS X CBU,"9404611,68"
2025-10,2025-10-14,TRANSF. A OTROS BANCOS X CBU,"3064034,36"
2025-10,2025-10-07,TRANSF. A OTROS BANCOS X CBU,"7598022,93"
2025-11,2025-11-26,TRANSF. A OTROS BANCOS X CBU,"6662212,32"
2025-11,2025-11-18,TRANSF. A OTROS BANCOS X CBU,"6559307,95"
2025-11,2025-11-11,TRANSF. A OTROS BANCOS X CBU,"2226352,37"
2025-11,2025-11-04,TRANSF. A OTROS BANCOS X CBU,"4847746,09"
2025-12,2025-12-26,TRANSF. A OTROS BANCOS X CBU,"6700361,82"
2025-12,2025-12-16,TRANSF. A OTROS BANCOS X CBU,"5655711,33"
2025-12,2025-12-09,TRANSF. A OTROS BANCOS X CBU,"4482068,44"
2025-12,2025-12-02,TRANSF. A OTROS BANCOS X CBU,"2935770,05"
2026-01,2026-01-27,TRANSF. A OTROS BANCOS X CBU,"6366636,20"
2026-01,2026-01-20,TRANSF. A OTROS BANCOS X CBU,"5017881,55"
2026-01,2026-01-15,TRANSF. A OTROS BANCOS X CBU,"1069327,24"
2026-01,2026-01-13,TRANSF. A OTROS BANCOS X CBU,"1230310,25"
2026-01,2026-01-06,TRANSF. A OTROS BANCOS X CBU,"5031686,69"
2026-02,2026-02-25,TRANSF. A OTROS BANCOS X CBU,"6576391,56"
2026-02,2026-02-18,TRANSF. A OTROS BANCOS X CBU,"3712881,48"
2026-02,2026-02-10,TRANSF. A OTROS BANCOS X CBU,"2606964,82"
2026-02,2026-02-03,TRANSF. A OTROS BANCOS X CBU,"5786495,79"
2026-03,2026-03-27,TRANSF. A OTROS BANCOS X CBU,"4269378,79"
2026-03,2026-03-25,TRANSF. A OTROS BANCOS X CBU,"1419987,89"
2026-03,2026-03-17,TRANSF. A OTROS BANCOS X CBU,"2687168,38"
2026-03,2026-03-10,TRANSF. A OTROS BANCOS X CBU,"3787452,32"
2026-03,2026-03-04,TRANSF. A OTROS BANCOS X CBU,"4879937,38"
2026-04,2026-04-28,TRANSF. A OTROS BANCOS X CBU,"6356762,73"
2026-04,2026-04-21,TRANSF. A OTROS BANCOS X CBU,"5080809,02"
2026-04,2026-04-15,TRANSF. A OTROS BANCOS X CBU,"422398,71"
2026-04,2026-04-14,TRANSF. A OTROS BANCOS X CBU,"4325794,63"
2026-04,2026-04-07,TRANSF. A OTROS BANCOS X CBU,"4395313,52"
2026-05,2026-05-12,TRANSF. A OTROS BANCOS X CBU,"3652815,63"
2026-05,2026-05-05,TRANSF. A OTROS BANCOS X CBU,"1245958,41"
